Valeur de réponse,Question,Profil,Pondération (1 à 4)
J'ai une mauvaise connaissance des acteurs et de leurs besoins.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,0
Je suis capable d'identifier les besoins et les contraintes de mes interlocuteurs.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,2
Je suis capable d'identifier les besoins et d'adapter mon discours en fonction de mon interlocuteur.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,3
Je suis capable d'adapter mon discours et de hiérarchiser mes arguments en fonction des besoins et des contraintes de mon interlocuteur.,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,4
Avec un peu d'humour j'arrive toujours à donner le change !,Êtes-vous capable d'adapter votre argumentation en fonction du public auquel vous vous adressez ?,Ambassadeur,1
Cela me motive et je relève le défi avec enthousiasme.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,4
Je m'en sens capable si je ne suis pas seul face au public.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,2
Parler en public me demande beaucoup de préparation.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,1
Je ne m'en sens pas capable je préfère laisser cette tâche à quelqu'un d'autre.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,0
Je l'ai déjà fait plusieurs fois mais le petit sentiment de stress est toujours là.,Parler en public vous semble-t-il une tâche simple et cela vous plaît-il de le faire ? ,Ambassadeur,3
Oui je suis capable de les identifier et de les mettre en réseau pour les besoins de mon projet.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,4
Oui j'ai déjà un bon carnet d'adresses que je sais mobiliser et je saurai le compléter.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,3
J'ai déjà un petit carnet d'adresses de collaborateurs proches avec qui j'entretiens des relations privilégiées.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,2
Je connais quelques personnes mais j'ai du mal à pérenniser mes rélations professionnelles.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,1
Je ne connais personne dans ce domaine.,Saurez-vous identifier les interlocuteurs susceptibles d'être intéressés par le projet sur lequel vous allez travailler ?,Ambassadeur,0
La contrainte est source de créativité : je relève le challenge avec enthousiasme !,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,4
Je suis volontaire mais j'ai besoin d'aide.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,2
Je ne suis pas très à l'aise avec l'exercice.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,1
Je ne m'en sens pas vraiment capable.,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,0
Je vais travailler pour y arriver ! Il faut une première fois à tout !,Savez-vous présenter un projet en 180 secondes ?,Ambassadeur,3
LinkedIn : j'y poste mes présentations de travail pour donner à voir mes projets.,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,1
Instagram : je manie le langage des images et je sais les associer aux bons mots-clés.,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,2
YouTube : je sais produire un discours vidéo rythmé dynamique et efficace !,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,3
Je suis clairement multiplateforme ! J'aurais été partout !,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,4
Les réseaux sociaux ça n'est pas du tout mon truc.,"""Si vous étiez un influenceur, sur quel réseau social auriez-vous construit votre réputation ?""",Ambassadeur,0
Je rêve encore d'un projet qui se déroule sans aucune contrainte : à chaque fois j'imagine un truc chouette et les contraintes viennent tout gâcher...,Les contraintes liées à un projet et à son développement sont-elles pour vous de véritables freins ou des leviers de créativité ?,Créatif,1
Des contraintes il y en a forcément ! C'est parfois dommage mais je sais faire avec !,Les contraintes liées à un projet et à son développement sont-elles pour vous de véritables freins ou des leviers de créativité ?,Créatif,2
Hiérarchisons les contraintes et remontons-nous les manches ! À chaque problème il y a une solution !,Les contraintes liées à un projet et à son développement sont-elles pour vous de véritables freins ou des leviers de créativité ?,Créatif,3
À l'image de Georges Perec qui a écrit La Disparition sans jamais utiliser la lettre E je crois que la contrainte stimule l'imagination et la créativité !,Les contraintes liées à un projet et à son développement sont-elles pour vous de véritables freins ou des leviers de créativité ?,Créatif,4
Vous vous inquiétez de la faisabilité du projet...,"""Lorsqu'on vous met face à un défi vraiment difficile, quelle est votre première réaction ?""",Créatif,1
Vous demandez comment ?,"""Lorsqu'on vous met face à un défi vraiment difficile, quelle est votre première réaction ?""",Créatif,2
Vous demandez pour qui ?,"""Lorsqu'on vous met face à un défi vraiment difficile, quelle est votre première réaction ?""",Créatif,3
Vous demandez pour quand ?,"""Lorsqu'on vous met face à un défi vraiment difficile, quelle est votre première réaction ?""",Créatif,4
Vous n'essayez pas pour ne pas perdre de temps.,"""Lorsqu'on vous met face à un défi vraiment difficile, quelle est votre première réaction ?""",Créatif,0
La curiosité : avoir envie de découvrir et d'apprendre.,"""Parmi les soft skills suivantes, laquelle vous caractérise le mieux ?""",Créatif,1
L'agilité : être capable de changer de posture et de stratégie rapidement.,"""Parmi les soft skills suivantes, laquelle vous caractérise le mieux ?""",Créatif,2
La créativité : créer des connections entre les idées et les gens pour innover.,"""Parmi les soft skills suivantes, laquelle vous caractérise le mieux ?""",Créatif,3
L'audace : proposer des idées nouvelles tenter et oser.,"""Parmi les soft skills suivantes, laquelle vous caractérise le mieux ?""",Créatif,4
Une Margherita : un classique que tout le monde aime !,"""Si vous deviez concevoir une pizza, elle ressemblerait à...""",Créatif,1
Une Napolitaine : traditionnelle et savoureuse !,"""Si vous deviez concevoir une pizza, elle ressemblerait à...""",Créatif,2
Une calzone : l'intérieur peut vous surprendre !,"""Si vous deviez concevoir une pizza, elle ressemblerait à...""",Créatif,3
Une Hawaïenne : des ananas sur une pizza c'est original !,"""Si vous deviez concevoir une pizza, elle ressemblerait à...""",Créatif,4
Playmobil ! Viens on va jouer avec les pirates !,"""Si vous deviez jouer avec des enfants aujourd'hui, que choisiriez-vous ?""",Créatif,1
